제목,저자,출판사,네이버 최저 가격,상태,희망판매가
만약에 우리 역사에 이런 일이 없었다면 1,전준석,주니어랜덤,"8,820원",상,"5,000원"
왕실도서관 규장각에서 조선의 보물찾기,신병주,책과함께어린이,"9,900원",상,"7,000원"
쎄느강은 좌우를 나누고 한강은 남북을 가른다,홍세화,한겨레출판사,"10,800원",상,"5,000원"
